Порог для Star,> =8,из 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,C-,C,C,C+,C+,B-,B,B+,A-,A-,A,A+,S,ICO of Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,C-,C-,C,C,C+,B-,B,B+,B+,A-,A,A+,Brothers Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,DD,C1,C1,CC,CC,B2,B1,BB,A3,A3,A2,A1,AA,ICOTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"0,50","1,50","2,30","3,00","3,70","4,50","5,50","6,40","7,40",,"8,50","9,50","10,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,E,D,C-,C,C+,B-,B,B+,A-,A-,A,A+,S,Token Metrics Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"0,50","1,50","2,30","3,00","3,70","4,50","5,50","6,40","7,15","7,75","8,50","9,50","10,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,D-,D,D+,C-,C,C+,B-,B,B+,A-,A,A+,S,ICO Pantera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,(Оригинальная оценка эксперта от 1 до 5 /A36)*$N$4,,,,,,,,,,,,,CryptoRated,Anon ICO Reviews,CryptoRated,ICOBazaar,TokenTOPS,TrackICO,ICOHolder,ICO Market Data,ICOGuru,Suppoman,ICOScoring,ICOReview,ICO-rating,ICO Digest,icocrunch,icostock24,Cryptocoinconnection,ICO expert,Coincheckup,ICOstreet.io,WiserICO,ICO Champs,ICOcreed,ICO Finch,Insider.Pro,Findico.io,TokenGuru,Earnings,ICOBench,ICO-map,ICObuzz.net,Icohunt,Icosignal,NEWSBTC,Coindelite,ICOVision.io
6,(Оригинальная оценка эксперта от 1 до 6 /A37)*$N$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,(Оригинальная оценка эксперта от 1 до 7 /A38)*$N$4,,,,,,,,,,,,,digrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,(Оригинальная оценка эксперта от 1 до 10 /A39)*$N$4                                                                                                ,,,,,,,,,,,,,Mandy,ICOMarks,Luntik ICO Reports,CCN,FoundICO,ICO4you,BitExpert,ICOBuffer,cointelligence,cFund,Icotoinvest,CoinMarketPlus,CryptoPotato,Cryptototem,Foxico,Portal Soho,icopools.io,coinlauncher,ICO of Korea,ICO Scroll,Tropyc,CoinGape,CryptoBriefing,,,,,,,,,,,,,
100,(Оригинальная оценка эксперта от 1 до 100 /A40)*$N$4                                                                                                ,,,,,,,,,,,,,"
 OhHeyMatty",Ian Balina,MMCrypto,Wolf Crypto,Sergio,Crypto Calibur,Shin Chan,Lendex0,CryptoBotReport,Liu,ICOData,The Crypto Sphere,ICONow,ICORanker,ProfitGid,TokenLab,TopTraderICO,NeiroNIX,ICOHotSheet,Altcoin Picks,BlackDragon,BulkNetwork,Coinvision,@ICO_Reports Community Rating,The Kript Keeper,The Council,Chainrock,ICOTracker,ICO of Korea,ICOPicker,InvestFuture,Diddy Carter,,,,
100,"(Оригинальная оценка эксперта от 1 до 100 /A41)*$N$4, но есть исключение: порог для Star проектов BitCryptoNews равен 6 (включительно), т.е к Star проектам эксперта будут относится проекты с оценкой от 6(включительно) до 10",,,,,,,,,,,,,BitCryptoNews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
