ICO_name,Sinonym1,Sinonym2,Sinonym3,Sinonym4,Sinonym5,Sinonym6
Agorz,ico.agorz.com,,,,,
AgreCoin,agrecoin.com,,,,,
Agrello,agrello.org,agrello-delta,,,Agrello,
Agricoin,agricoin.asia,,,,,
Agrivita,agrivita.ru,,,,,
Agro Stock Exchange,agrostockexchange.io,,,,,
AGROLOT,agrolot.io,agrolot,,,Agrolot,
AgroTechFarm,agrotechfarm.io,,,,,
Ahoolee,ahoolee.io,,,,,
AI Crypto,aicrypto.ai,,,,,
AI Doctor,aidoc.me,aidoc,,,,
AI Opinion,aiopinion.org,,,,,
AI Zeus Blockchain,aizeus.net,,,,,
AiBB,aibb.io,,,,,
AICHAIN,aichain.me,,,,,
AICoin,aicoin.io,,,,,
AID:Tech,tge.aid.technology,,,,,
AIDA,ico.aida.market,,,,,
AidCoin,aidcoin.co,aidcoin,,,AidCoin,
Aidos Kuneen,aidoskuneen.com,aidoskuneen,,,,
Aigang,aigang.network,aigang,,,Aigang,
AIgatha,aigatha.com,,,,,
AIGCoin,aigaming.com,,,,,
Aigo,aigotoken.ai,,,,,
AIKON,aikon.com,,,,,
AiLink Token,ailink.in,ailink,,,,
Aimedis,aim.aimedis.com,,,,,
AIOM,aicosoft.de,,,,,
Aion,aion.network,aion,,,Aion,
Air Swap,airswap.io,airswap,,,AirSwap,
Aira,aira.life,,,,,
AIRBLOC Protocol,airbloc.org,airbloc,,,Airbloc,
Airchain Network,airchain.network,,,,,
AIRCOIN,theaircoin.io,,,,,
AIREN,airen.io,,,,,
AIREXE,airexe.io,,,,,
Airforce Mining,airforcemining.com,,,,,
Airgead Coin,airgeadcoin.io,,,,,
AirPod,air-pod.io,,,,,
Airsave Travel,airsavetravel.com,,,,,
AIRSTAYZ,token.airstayz.com,,,,,
AirToken,airfox.com,airtoken,,,AirToken,
AISI Coin,AISI,,,,,
Aitheon,aitheon.com,,,,,
AITrading,aitrading.com,,,,,
Aiur,projectaiur.com,,,,,
AIX,aix.trade,,,,,
Akaiito,akaiito.io,,,,,
Akash Network,Akash,,,,,
Akasha,akasha.world,,,,,
AKM GLOBAL,akminvest.com,,,,,
AkroCoin,akrocoin.com,,,,,
Akroma,akroma.io,,,,,
Akropolis,akropolis.io,,,,,
Aktie Social,Aktie,,,,,
Akuya Coin,akuyacoin.co,akuyacoin,,,,
ALAX,alax.io,alax,,,ALAX,
Alchemint,alchemint.io,alchemint-standards,,,Alchemint Standards,
Alchemy,alchemycoin.io,,,,,
AlchemyByte,alchemybyte.com,,,,,
Aldoin,aldoin.com,,,,,
Aleef,aleefcoin.io,,,,,
Alehub,alehub.io,,,,,
Alethena,alethena.com,,,,,
Alexis Coin,alexiscoin.co,,,,,
Alfa-Enzo,alfaenzo.io,,,,,
AlfaToken,alfatoken.com,,,,,
Algebraix Data,algebraix.io,,,,,
Algo.land,algo.land,,,,,
Algorand,algorand.com,,,,,
Algory Project,Algory,,,,,
AlgoTradingFUN,atftoken.io,,,,,
Alibabacoin,abbcfoundation.com,alibabacoin,,,Alibabacoin,
Alicoin Cash,alicoin.cash,,,,,
AligatoCoin,aligatocoin.io,,,,,
ALIS,alismedia.jp,alis,,,ALIS,
Alive Casino,aliveplaycasino.com,,,,,
AlkebulanCash,alkebulancurrency.com,,,,,
All Of Art,allofart.com,,,,,
All Public Art,allpublicart.io,,,,,
All Sports,allsportschain.com,all-sports,,,All Sports,
all.me,Allaboutme,,,,,
ALLCARE,allcare.io,,,,,
ALLCOIN,,allcoin,,,,
Allend,wealways.me,,,,,
AllForMiner,forminerpro.com,,,,,
Allion,trollpay.com,trollpay,,,,
ALLIVE,allive.io,,,,,
ALLN,allntoken.com,,,,,
ALLOY,alloy.rewards.network,,,,,
AllSafe,allsafetoken.pw,allsafetoken,,,,
AllSpark,allsparkchain.com,,,,,
AllSporter,allsportercoin.io,,,,,
AllStocks,all-stocks.net,,,,,
Alluma,token.alluma.io,,,,,
ALLUXE,alluxe.io,,,,,
ALMBank,ALMB,,,,,
Almeela,almeela.com,,,,,
Alpha Coin,alphacoin.me,,,,,
Alpha Protocol,alphaprotocol.com,,,,,
Alphabit,alphabitcoinfund.com,Alphabit,,,,
Alphacat,alphacat.io,,,,,
Alphacon,alphacon.io,,,,,
AlphaMarket,tokensale.alphamarket.online,,,,,
AlphaPoint Public Network,AlphaPoint,,,,,
Alphateca,alphateca.com,,,,,
Alphathereum,alphathereum.com,,,,,
AlphaX,alpha-x.io,,,,,
ALQO,alqo.org,,,,,
Alt Planet,altplanet.io,,,,,
Alt.Estate,https://alt.estate/,https://coinmarketcap.com/currencies/alt-estate-token/,,,Alt.Estate token,
Altair VR,altairvr.io,,,,,
Altcoin,altcoinmarketcap.com,altcoinmarketcap,,,,
ALTEUM,alteum.io,,,,,
Altindex,alt-index.com,,,,,
ALTOCAR,altocar-ico.com,,,,,
AltOWL,altowl.com,,,,,
Alttex,alttex.io,alttex,,,Alttex,
Alttradex,alttradex.com,,,,,
Altumea,altumea.io,,,,,
Alux Bank,luxantdigitalbank.com,,,,,
ALZA,alza.io,,,,,
Amalgam,amalgamcoin.com,,,,,
Ambit,ambitmining.io,,,,,
Ambrosus,ambrosus.com,amber,,,Ambrosus,
AMCHART,amchart.io,,,,,
AmericansBitcoin,ico.americansbitcoin.com,,,,,
AMI,amicalproperties.com,,,,,
AMICORUM.LIVE,amicorum.live,,,,,
Amino,amino.world,,,,,
AML Bitcoin,amltoken.com,,,,,
AMLT,amlt.coinfirm.io,amlt,,,AMLT,
Ammbr,ammbr.com,,,,,
Ammeris Platform,ammeris.com,,,,,
Ammo Reloaded,ammoreloaded.io,ammoreloaded,,,,
AMO Coin,AMO,amo.foundation,amo-coin,,,
Amon,amon.tech,amon,,,Amon,
Amor,amorcoin.org,,,,,
Amorito,amoritotoken.com,,,,,
Amos.global,amos.global,,,,,
AMPLE! Coin,AMPLE,AMPLE!,,,,
AmsterdamCoin,amsterdamcoin.com,,,,,
Anacoin,ananas.org.uk,,,,,
AnarchistsPrime,anarchistsprime.info,,,,,
Angel Token,angelinvestors.io,,,,,
Angenium,angenium.io,,,,,
Angry Panda (ROAR),angrypandacoin.com,,,,,
AngryToken,dev.angrytoken.com,,,,,
Animated project,animatedproject.site,,,,,
Animation Vision Cash,av.cash,av,,,,
Animecoin,anime-coin.com,anime-coin,,,,
Ankorus,ankotc.com,,,,,
Ankr Network,ankr.network,,,,,
Anna,miroir-anna.com,,,,,
Anoncoin,anoncoin.net,,,,,
AnonHotels,anonhotels.com,,,,,
Anonymous Service Chain,asc.services,,,,,
Anryze,anryze.com,,,,,
ANTAVIRA,antavira.com,,,,,
Anti Derivative,antiderivativetoken.com,,,,,
AntiBank,antibank.io,,,,,
Antidepress,antidepressico.work,,,,,
AntiHACK.me,antihack.io,,,,,
ANTIMASS,antimasstechnologies.com,,,,,
Antimatter,,,,,,
AntiqMall,antiqmall-ico.io,,,,,
Anubis,anubis.cloud,,,,,
Anything App,anything.app,,,,,
APEX,apexnetwork.io,apex,,,Apex,
Apex Token Fund,apextokenfund.com,,,,,
Aphelion,aphelion.org,aphelion,,,Aphelion,
APIS,apisplatform.io,apis,,,APIS,
APIS Beechain,apismellifera.io,,,,,
APO Finance,apofinance.io,,,,,
Apollo Currency,apollocurrency.com,apollocurrency,,,,
Apollo DAE,apollodae.io,,,,,
Apollo Septem,apolloseptem.io,,,,,
Apollo18,apollo18.co.in,,,,,
Apollon,apollon.one,,,,,
Apollon Foundation,apollon-foundation.org,,,,,
Apollonia,apollonia.io,,,,,
ApolloX,apollox.network,,,,,
Appay,appay.ca,,,,,
AppCoins,appcoins.io,appcoins,,,AppCoins,
APPICS,appics.com,,,,,
AppTrade,apptrade.io,,,,,
APR Coin,apr-coin.com,apr-coin,,,,
APRES,apresnet.com,,,,,
APX,apxv.org,apx,,,APX,
AQUA,aquaintel.io,,,,,
AQUA Rights,aquarights.com,,,,,
Aquaoin,aquaoin.io,,,,,
AquariusCoin,aquariuscoin.com,,,,,
AQWIRE,aqwire.io,,,,,
Aragon,aragon.org,aragon,,,Aragon,
ARAW Token,ARAW,,,,,
Arbi,arbi.expert,,,,,
Arbidex,arbidex.uk.com,arbidex,,,Arbidex,
ARbit,,,,,,
