Main_name,Sinonym1,Sinonym2,Sinonym3,Sinonym4
Byteball,byteball.org,byteball,,
Bytecoin,bytecoin.org,bytecoin-bcn,,
Bytom,bytom.io,bytom,,
C3C.Network,C3C,,,
CanYa,canya.io,canyacoin,,
Cappasity,ico.cappasity.com,cappasity,ARToken,
CarBlock,carblock.io,carblock,,
Cardano,cardano.org,cardano,,
Cardstack,cardstack.com,cardstack,,
CargoX,cargox.io,cargox,,
CarTaxi,cartaxi.io,cartaxi-token,,
CarVertical,carvertical.com,carvertical,,
Cashaa,cashaa.com,cashaa,,
CashBet,coin.cashbet.com,cashbet-coin,,
CCET Project,CCET,,,
Ccore,ccore.io,ccore,,
CEDEX,cedex.com,cedex-coin,,
CEEK VR,ceek.io,ceek-vr,,
Celestial Coin,Celestial,,,
Centaure,centaure.io,centaure,,
CFun,cfunproject.com,cfun,,
ChainLink,smartcontract.com,chainlink,,
ChainZilla.io,ChainZilla,,,
Change Bank,getchange.com,change,,
ChronoBank,chronobank.io,chronobank,,
ChronoLogic,chronologic.network,chronologic,,
Cindicator,cindicator.com,cindicator,,
Civic,civic.com,civic,,
Clairety Inc.,Clairety,,,
Clarity Project,Clarity,,,
ClearCoin,clearcoin.co,clearcoin,,
ClearPoll,clearpoll.com,clearpoll,,
Cloud Token,token.cloudwith.me,cloud,,
CNN,cnntoken.io,content-neutrality-network,,
Cobinhood,cobinhood.com,cobinhood,,
Cobol Network,Cobol,,,
Cofound.It,cofound.it,cofound-it,,
Coin Bloq,Coin Blog,,,
CoinFi,coinfi.com,coinfi,,
Coinlancer,coinlancer.io,coinlancer,,
CoinPoker,coinpoker.com,coinpoker,,
Coinvest,coinve.st,coinvest,,
Color,Color Platform,,,
Colu Local Network (CLN),cln.network,colu-local-network,,
Commerce Block,CommerceBlock,commerceblock.com,commerceblock,
Commodity Ad Network (CDX),Commodity Ad Network,CDX,commodityadnetwork.com,commodity-ad-network
COMSA,comsa.io,comsa-xem,,
ConnectJob,ico.connectjob.io,connectjob,,
Consensus,consensus.ai,consensus,,
Consentium,consentium.net,consentium,,
Constellation Labs,constellationlabs.io,constellation,,
ContentBox,contentbox.one,contentbox,,
ContractNet,contractnet.com,contractnet,,
COPYTRACK,concensum.org,copytrack,,
Corion Platform,Corion,,,
Cortex,cortexlabs.ai,cortex,,
Cosplay Token,WorldCosplay,Cosplay,,
COSS,coss.io,coss,,
Counterparty,counterparty.io,counterparty,,
Covesting,covesting.io,covesting,,
CreativeCoin,creativechain.org,creativecoin,,
Credible Network,Credible,,,
Credit Protocol (BlockMason),blockmason.io,blockmason,,
CREDITS,credits.com,credits,,
Crowd Machine,crowdmachine.com,crowd-machine,,
CrowdCoin,crowd-coin.org,crowdcoin,,
Crowdholding,ico.crowdholding.com,crowdholding,,
CRYCASH,crycash.io,crycash,,
Cryptaur,cryptaur.com,cryptaur,,
Crypterium,crypterium.io,crypterium,,
Crypto Trust Network,Crypto Trust,,,
CRYPTO20,crypto20.com,c20,,
CryptoCarbon,ccrb.io,cryptocarbon,,
Cryptonex,cryptonex.org,cryptonex,,
CryptoPay (Cpay),CryptoPay,Cpay,ico.cryptopay.me,cryptopay
CryptoPing,cryptoping.tech,cryptoping,,
Cryptosolartech,cryptosolartech.org,cryptosolartech,,
Crypviser,crypviser.network,cvcoin,,
Crystal Clear,crystal-clear.io,crystal-clear,,
CUBE,cubeint.io,cube,,
CustomCoin Platform,CustomCoin,,,
Cyber Physical Chain,cpchain.io,cpchain,,
CyberMiles,cybermiles.io,cybermiles,,
DACC,dacc.co,dacc,,
DACSEE,dacsee.io,dacsee,,
DADI,dadi.cloud,dadi,,
DAEX,daex.io,daex,,
Daneel,daneel.io,daneel,,
DAO.Casino,dao.casino,dao-casino,,
DAOstack,daostack.io,daostack,,
Darcrus,darcr.us,darcrus,,
Dash,dash.org,dash,,
Datarius,datarius.io,datarius-credit,,
Datawallet,datawallet.com,datawallet,,
Datum,datum.org,datum,,
DATx,datx.co,datx,,
DAV Network,dav.network,dav-coin,,
DCC,dcc.finance,distributed-credit-chain,,
DCentral Capital,D-Central Capital,,,
Dcorp,dcorp.it,drp-utility,,
Debitum Network,debitum.network,debitum-network,,
Decent,decent.ch,decent,,
Decentraland,decentraland.org,decentraland,,
Decentralized AI-Powered Trust Alliance (DATA),data.eco,data,,
Decentralized Machine Learning (DML),decentralizedml.com,decentralized-machine-learning,,
Decred,decred.org,decred,,
Deep Brain,deepbrainchain.org,deepbrain-chain,,
DeepBrain,DeepBrain Chain,,,
DenchMusic,Dench Music,,,
Dent,dentwireless.com,dent,,
Dentacoin,dentacoin.com,dentacoin,,
Depository Network,Depository,DEPO,,
Dether,dether.io,dether,,
Devery,devery.io,devery,,
DIAMOND,bit.diamonds,diamond,,
DICE Money,DICE,,,
DigiPulse,digipulse.io,digipulse,,
Digitex,digitexfutures.com,digitex-futures,,
DigixDAO,digix.global,digixdao,,
DIMCOIN,dimcoin.io,dimcoin,,
Dimensions Network,Dimensions,,,
Dipnet,dip.network,dipnet,,
District0x,contribution.district0x.io,district0x,,
Divi Project,diviproject.org,divi,,
DMarket,dmarket.io,dmarket,,
Docademic,mtc.docademic.com,docademic,,
Dock.io,dock.io,dock,,
DomRaider,domraider.com,domraider,,
Dorado,dorado.tech,dorado,,
DOVU,dovu.io,dovu,,
DOX.NETWORK,DOX,,,
Dragon,tokensale.drgtoken.io,dragon-coins,,
Dragonchain,dragonchain.com,dragonchain,,
Dragonglass,dragonglass.com,dragonglass,,
Dropil,dropil.com,dropil,,
DxChain,dxchain.com,dxchain-token,,
Eagle Project,Eagle,Eagle token,,
Earth Token,earth-token.com,earth-token,,
EBCoin,ebcoin.io,ebcoin,,
Ecobit,ecobit.io,ecobit,,
Edgeless,edgeless.io,edgeless,,
Educoin,edu.one,edu-coin,,
Effect.ai,effect.ai,effect-ai,,
Egretia,egretia.io,egretia,,
Eidoo,eidoo.io,eidoo,,
Elastos,elastos.org,elastos,,
Electrify Asia,electrify.asia,electrifyasia,,
Electroneum,electroneum.com,electroneum,,
Eligma,eligma.com,eligma-token,,
Elysian,elycoin.io,elysian,,
EMI Foundation,EMI,,,
Emphy,emphy.io,emphy,,
